group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Calibrate,calibrate-limit,100000,,,4084446826.0,ns,1
Calibrate,calibrate-limit,100000,,,5084504765.0,ns,1
Calibrate,calibrate-limit,100000,,,3578901116.0,ns,1
Calibrate,calibrate-limit,100000,,,3450060467.0,ns,1
Calibrate,calibrate-limit,100000,,,3642398150.0,ns,1
Calibrate,calibrate-limit,100000,,,3158656587.0,ns,1
Calibrate,calibrate-limit,100000,,,2978297285.0,ns,1
Calibrate,calibrate-limit,100000,,,3051340386.0,ns,1
Calibrate,calibrate-limit,100000,,,3453944062.0,ns,1
Calibrate,calibrate-limit,100000,,,3519402313.0,ns,1
Calibrate,calibrate-limit,100000,,,5922555464.0,ns,1
Calibrate,calibrate-limit,100000,,,5681974372.0,ns,1
Calibrate,calibrate-limit,100000,,,4592096375.0,ns,1
Calibrate,calibrate-limit,100000,,,4540321372.0,ns,1
Calibrate,calibrate-limit,100000,,,3468137241.0,ns,1
Calibrate,calibrate-limit,100000,,,3941024431.0,ns,1
Calibrate,calibrate-limit,100000,,,4677563913.0,ns,1
Calibrate,calibrate-limit,100000,,,3238607729.0,ns,1
Calibrate,calibrate-limit,100000,,,3242221558.0,ns,1
Calibrate,calibrate-limit,100000,,,3524763135.0,ns,1
Calibrate,calibrate-limit,100000,,,3255781548.0,ns,1
Calibrate,calibrate-limit,100000,,,3887507322.0,ns,1
Calibrate,calibrate-limit,100000,,,3786162383.0,ns,1
Calibrate,calibrate-limit,100000,,,3652683552.0,ns,1
Calibrate,calibrate-limit,100000,,,4499501203.0,ns,1
Calibrate,calibrate-limit,100000,,,3174659057.0,ns,1
Calibrate,calibrate-limit,100000,,,4122582868.0,ns,1
Calibrate,calibrate-limit,100000,,,6045549011.0,ns,1
Calibrate,calibrate-limit,100000,,,4887778683.0,ns,1
Calibrate,calibrate-limit,100000,,,6638367816.0,ns,1
Calibrate,calibrate-limit,100000,,,7052741248.0,ns,1
Calibrate,calibrate-limit,100000,,,4416481177.0,ns,1
Calibrate,calibrate-limit,100000,,,3599337863.0,ns,1
Calibrate,calibrate-limit,100000,,,3172302260.0,ns,1
Calibrate,calibrate-limit,100000,,,4880974877.0,ns,1
Calibrate,calibrate-limit,100000,,,6284600931.0,ns,1
Calibrate,calibrate-limit,100000,,,4984260388.0,ns,1
Calibrate,calibrate-limit,100000,,,3953255864.0,ns,1
Calibrate,calibrate-limit,100000,,,3130593543.0,ns,1
Calibrate,calibrate-limit,100000,,,3181076854.0,ns,1
Calibrate,calibrate-limit,100000,,,3422639348.0,ns,1
Calibrate,calibrate-limit,100000,,,3108605533.0,ns,1
Calibrate,calibrate-limit,100000,,,3160738681.0,ns,1
Calibrate,calibrate-limit,100000,,,3228519502.0,ns,1
Calibrate,calibrate-limit,100000,,,3514077841.0,ns,1
Calibrate,calibrate-limit,100000,,,3510414435.0,ns,1
Calibrate,calibrate-limit,100000,,,3337560776.0,ns,1
Calibrate,calibrate-limit,100000,,,3085565452.0,ns,1
Calibrate,calibrate-limit,100000,,,3150909746.0,ns,1
Calibrate,calibrate-limit,100000,,,3107562482.0,ns,1
Calibrate,calibrate-limit,100000,,,3531682465.0,ns,1
Calibrate,calibrate-limit,100000,,,3149806240.0,ns,1
Calibrate,calibrate-limit,100000,,,2923101697.0,ns,1
Calibrate,calibrate-limit,100000,,,3227894309.0,ns,1
Calibrate,calibrate-limit,100000,,,3097247833.0,ns,1
Calibrate,calibrate-limit,100000,,,3060012161.0,ns,1
Calibrate,calibrate-limit,100000,,,3019182520.0,ns,1
Calibrate,calibrate-limit,100000,,,3051250591.0,ns,1
Calibrate,calibrate-limit,100000,,,3025754577.0,ns,1
Calibrate,calibrate-limit,100000,,,3047856416.0,ns,1
Calibrate,calibrate-limit,100000,,,3435455231.0,ns,1
Calibrate,calibrate-limit,100000,,,3083068593.0,ns,1
Calibrate,calibrate-limit,100000,,,3098860245.0,ns,1
Calibrate,calibrate-limit,100000,,,3205537222.0,ns,1
Calibrate,calibrate-limit,100000,,,3334214024.0,ns,1
Calibrate,calibrate-limit,100000,,,3213049212.0,ns,1
Calibrate,calibrate-limit,100000,,,3190537471.0,ns,1
Calibrate,calibrate-limit,100000,,,3376038705.0,ns,1
Calibrate,calibrate-limit,100000,,,3040606407.0,ns,1
Calibrate,calibrate-limit,100000,,,3110320189.0,ns,1
Calibrate,calibrate-limit,100000,,,3037615598.0,ns,1
Calibrate,calibrate-limit,100000,,,3234013264.0,ns,1
Calibrate,calibrate-limit,100000,,,3297957928.0,ns,1
Calibrate,calibrate-limit,100000,,,3062502305.0,ns,1
Calibrate,calibrate-limit,100000,,,3067099951.0,ns,1
Calibrate,calibrate-limit,100000,,,3007888083.0,ns,1
Calibrate,calibrate-limit,100000,,,3057529660.0,ns,1
Calibrate,calibrate-limit,100000,,,3057028048.0,ns,1
Calibrate,calibrate-limit,100000,,,3152853746.0,ns,1
Calibrate,calibrate-limit,100000,,,3073132052.0,ns,1
Calibrate,calibrate-limit,100000,,,3123794300.0,ns,1
Calibrate,calibrate-limit,100000,,,3114899977.0,ns,1
Calibrate,calibrate-limit,100000,,,3266693403.0,ns,1
Calibrate,calibrate-limit,100000,,,3062487103.0,ns,1
Calibrate,calibrate-limit,100000,,,3032725410.0,ns,1
Calibrate,calibrate-limit,100000,,,3106889101.0,ns,1
Calibrate,calibrate-limit,100000,,,3058351794.0,ns,1
Calibrate,calibrate-limit,100000,,,3057853857.0,ns,1
Calibrate,calibrate-limit,100000,,,3219438228.0,ns,1
Calibrate,calibrate-limit,100000,,,3513848682.0,ns,1
Calibrate,calibrate-limit,100000,,,3220474691.0,ns,1
Calibrate,calibrate-limit,100000,,,3423352722.0,ns,1
Calibrate,calibrate-limit,100000,,,3365221849.0,ns,1
Calibrate,calibrate-limit,100000,,,3373161318.0,ns,1
Calibrate,calibrate-limit,100000,,,3141470902.0,ns,1
Calibrate,calibrate-limit,100000,,,3268778372.0,ns,1
Calibrate,calibrate-limit,100000,,,3265737861.0,ns,1
Calibrate,calibrate-limit,100000,,,3254836408.0,ns,1
Calibrate,calibrate-limit,100000,,,3499788730.0,ns,1
Calibrate,calibrate-limit,100000,,,3539566346.0,ns,1
